主索节点1,X坐标（米）,Y坐标（米）,Z坐标（米）,主索节点1,X坐标（米）,Y坐标（米）,Z坐标（米）,主索节点3,X坐标（米）,Y坐标（米）,Z坐标（米）
A1,-6.1078,8.407,-300.2202,A3,0,16.818,-299.9289,A2,-12.2084,16.804,-299.6811
A1,-6.1078,8.407,-300.2202,E3,-15.9942,5.197,-299.9289,A2,-12.2084,16.804,-299.6811
A3,0,16.818,-299.9289,B2,12.2084,16.804,-299.6811,A6,6.1079,25.236,-299.2759
A3,0,16.818,-299.9289,A2,-12.2084,16.804,-299.6811,A5,-6.1079,25.236,-299.2759
A3,0,16.818,-299.9289,A5,-6.1079,25.236,-299.2759,A6,6.1079,25.236,-299.2759
B2,12.2084,16.804,-299.6811,B3,15.9942,5.197,-299.9289,B5,22.1129,13.607,-299.2759
B2,12.2084,16.804,-299.6811,A6,6.1079,25.236,-299.2759,B4,18.2943,25.18,-298.7833
B2,12.2084,16.804,-299.6811,B4,18.2943,25.18,-298.7833,B5,22.1129,13.607,-299.2759
B3,15.9942,5.197,-299.9289,C2,19.7536,-6.418,-299.6811,B6,25.8877,1.99,-299.2759
B3,15.9942,5.197,-299.9289,B5,22.1129,13.607,-299.2759,B6,25.8877,1.99,-299.2759
C2,19.7536,-6.418,-299.6811,C3,9.885,-13.605,-299.9289,C5,19.7744,-16.825,-299.2759
C2,19.7536,-6.418,-299.6811,B6,25.8877,1.99,-299.2759,C4,29.6008,-9.617,-298.7833
C2,19.7536,-6.418,-299.6811,C4,29.6008,-9.617,-298.7833,C5,19.7744,-16.825,-299.2759
C3,9.885,-13.605,-299.9289,D2,0,-20.77,-299.6811,C6,9.8916,-24.006,-299.2759
C3,9.885,-13.605,-299.9289,C5,19.7744,-16.825,-299.2759,C6,9.8916,-24.006,-299.2759
D2,0,-20.77,-299.6811,D3,-9.885,-13.605,-299.9289,D5,-9.8916,-24.006,-299.2759
D2,0,-20.77,-299.6811,C6,9.8916,-24.006,-299.2759,D4,0,-31.124,-298.7833
D2,0,-20.77,-299.6811,D4,0,-31.124,-298.7833,D5,-9.8916,-24.006,-299.2759
D3,-9.885,-13.605,-299.9289,E2,-19.7536,-6.418,-299.6811,D6,-19.7744,-16.825,-299.2759
D3,-9.885,-13.605,-299.9289,D5,-9.8916,-24.006,-299.2759,D6,-19.7744,-16.825,-299.2759
E2,-19.7536,-6.418,-299.6811,E3,-15.9942,5.197,-299.9289,E5,-25.8877,1.99,-299.2759
E2,-19.7536,-6.418,-299.6811,D6,-19.7744,-16.825,-299.2759,E4,-29.6008,-9.617,-298.7833
E2,-19.7536,-6.418,-299.6811,E4,-29.6008,-9.617,-298.7833,E5,-25.8877,1.99,-299.2759
E3,-15.9942,5.197,-299.9289,A2,-12.2084,16.804,-299.6811,E6,-22.1129,13.607,-299.2759
E3,-15.9942,5.197,-299.9289,E5,-25.8877,1.99,-299.2759,E6,-22.1129,13.607,-299.2759
A2,-12.2084,16.804,-299.6811,A5,-6.1079,25.236,-299.2759,A4,-18.2943,25.18,-298.7833
A2,-12.2084,16.804,-299.6811,E6,-22.1129,13.607,-299.2759,A4,-18.2943,25.18,-298.7833
A5,-6.1079,25.236,-299.2759,A6,6.1079,25.236,-299.2759,A9,0,33.638,-298.5108
A5,-6.1079,25.236,-299.2759,A4,-18.2943,25.18,-298.7833,A8,-12.1892,33.61,-298.265
A5,-6.1079,25.236,-299.2759,A8,-12.1892,33.61,-298.265,A9,0,33.638,-298.5108
A6,6.1079,25.236,-299.2759,B4,18.2943,25.18,-298.7833,A10,12.1892,33.61,-298.265
A6,6.1079,25.236,-299.2759,A9,0,33.638,-298.5108,A10,12.1892,33.61,-298.265
B4,18.2943,25.18,-298.7833,B5,22.1129,13.607,-299.2759,B8,28.1978,21.979,-298.265
B4,18.2943,25.18,-298.7833,A10,12.1892,33.61,-298.265,B7,24.3583,33.527,-297.5279
B4,18.2943,25.18,-298.7833,B7,24.3583,33.527,-297.5279,B8,28.1978,21.979,-298.265
B5,22.1129,13.607,-299.2759,B6,25.8877,1.99,-299.2759,B9,31.9908,10.395,-298.5108
B5,22.1129,13.607,-299.2759,B8,28.1978,21.979,-298.265,B9,31.9908,10.395,-298.5108
B6,25.8877,1.99,-299.2759,C4,29.6008,-9.617,-298.7833,B10,35.7311,-1.206,-298.265
B6,25.8877,1.99,-299.2759,B9,31.9908,10.395,-298.5108,B10,35.7311,-1.206,-298.265
C4,29.6008,-9.617,-298.7833,C5,19.7744,-16.825,-299.2759,C8,29.6164,-20.026,-298.265
C4,29.6008,-9.617,-298.7833,B10,35.7311,-1.206,-298.265,C7,39.4126,-12.806,-297.5279
C4,29.6008,-9.617,-298.7833,C7,39.4126,-12.806,-297.5279,C8,29.6164,-20.026,-298.265
C5,19.7744,-16.825,-299.2759,C6,9.8916,-24.006,-299.2759,C9,19.7714,-27.213,-298.5108
C5,19.7744,-16.825,-299.2759,C8,29.6164,-20.026,-298.265,C9,19.7714,-27.213,-298.5108
C6,9.8916,-24.006,-299.2759,D4,0,-31.124,-298.7833,C10,9.8938,-34.355,-298.265
C6,9.8916,-24.006,-299.2759,C9,19.7714,-27.213,-298.5108,C10,9.8938,-34.355,-298.265
D4,0,-31.124,-298.7833,D5,-9.8916,-24.006,-299.2759,D8,-9.8938,-34.355,-298.265
D4,0,-31.124,-298.7833,C10,9.8938,-34.355,-298.265,D7,0,-41.44,-297.5279
D4,0,-31.124,-298.7833,D7,0,-41.44,-297.5279,D8,-9.8938,-34.355,-298.265
D5,-9.8916,-24.006,-299.2759,D6,-19.7744,-16.825,-299.2759,D9,-19.7714,-27.213,-298.5108
D5,-9.8916,-24.006,-299.2759,D8,-9.8938,-34.355,-298.265,D9,-19.7714,-27.213,-298.5108
D6,-19.7744,-16.825,-299.2759,E4,-29.6008,-9.617,-298.7833,D10,-29.6164,-20.026,-298.265
D6,-19.7744,-16.825,-299.2759,D9,-19.7714,-27.213,-298.5108,D10,-29.6164,-20.026,-298.265
E4,-29.6008,-9.617,-298.7833,E5,-25.8877,1.99,-299.2759,E8,-35.7311,-1.206,-298.265
E4,-29.6008,-9.617,-298.7833,D10,-29.6164,-20.026,-298.265,E7,-39.4126,-12.806,-297.5279
E4,-29.6008,-9.617,-298.7833,E7,-39.4126,-12.806,-297.5279,E8,-35.7311,-1.206,-298.265
E5,-25.8877,1.99,-299.2759,E6,-22.1129,13.607,-299.2759,E9,-31.9908,10.395,-298.5108
E5,-25.8877,1.99,-299.2759,E8,-35.7311,-1.206,-298.265,E9,-31.9908,10.395,-298.5108
E6,-22.1129,13.607,-299.2759,A4,-18.2943,25.18,-298.7833,E10,-28.1978,21.979,-298.265
E6,-22.1129,13.607,-299.2759,E9,-31.9908,10.395,-298.5108,E10,-28.1978,21.979,-298.265
A4,-18.2943,25.18,-298.7833,A8,-12.1892,33.61,-298.265,A7,-24.3583,33.527,-297.5279
A4,-18.2943,25.18,-298.7833,E10,-28.1978,21.979,-298.265,A7,-24.3583,33.527,-297.5279
A8,-12.1892,33.61,-298.265,A9,0,33.638,-298.5108,A13,-6.1082,42.109,-297.3714
A8,-12.1892,33.61,-298.265,A7,-24.3583,33.527,-297.5279,A12,-18.2947,42.054,-296.8788
A8,-12.1892,33.61,-298.265,A12,-18.2947,42.054,-296.8788,A13,-6.1082,42.109,-297.3714
A9,0,33.638,-298.5108,A10,12.1892,33.61,-298.265,A14,6.1082,42.109,-297.3714
A9,0,33.638,-298.5108,A13,-6.1082,42.109,-297.3714,A14,6.1082,42.109,-297.3714
A10,12.1892,33.61,-298.265,B7,24.3583,33.527,-297.5279,A15,18.2947,42.054,-296.8788
A10,12.1892,33.61,-298.265,A14,6.1082,42.109,-297.3714,A15,18.2947,42.054,-296.8788
B7,24.3583,33.527,-297.5279,B8,28.1978,21.979,-298.265,B12,34.3416,30.395,-296.8788
B7,24.3583,33.527,-297.5279,A15,18.2947,42.054,-296.8788,B11,30.3932,41.833,-295.9163
B7,24.3583,33.527,-297.5279,B11,30.3932,41.833,-295.9163,B12,34.3416,30.395,-296.8788
B8,28.1978,21.979,-298.265,B9,31.9908,10.395,-298.5108,B13,38.1602,18.822,-297.3714
B8,28.1978,21.979,-298.265,B12,34.3416,30.395,-296.8788,B13,38.1602,18.822,-297.3714
B9,31.9908,10.395,-298.5108,B10,35.7311,-1.206,-298.265,B14,41.9353,7.203,-297.3714
B9,31.9908,10.395,-298.5108,B13,38.1602,18.822,-297.3714,B14,41.9353,7.203,-297.3714
B10,35.7311,-1.206,-298.265,C7,39.4126,-12.806,-297.5279,B15,45.6484,-4.404,-296.8788
B10,35.7311,-1.206,-298.265,B14,41.9353,7.203,-297.3714,B15,45.6484,-4.404,-296.8788
C7,39.4126,-12.806,-297.5279,C8,29.6164,-20.026,-298.265,C12,39.519,-23.268,-296.8788
C7,39.4126,-12.806,-297.5279,B15,45.6484,-4.404,-296.8788,C11,49.1772,-15.978,-295.9163
C7,39.4126,-12.806,-297.5279,C11,49.1772,-15.978,-295.9163,C12,39.519,-23.268,-296.8788
C8,29.6164,-20.026,-298.265,C9,19.7714,-27.213,-298.5108,C13,29.6925,-30.476,-297.3714
C8,29.6164,-20.026,-298.265,C12,39.519,-23.268,-296.8788,C13,29.6925,-30.476,-297.3714
C9,19.7714,-27.213,-298.5108,C10,9.8938,-34.355,-298.265,C14,19.8093,-37.657,-297.3714
C9,19.7714,-27.213,-298.5108,C13,29.6925,-30.476,-297.3714,C14,19.8093,-37.657,-297.3714
C10,9.8938,-34.355,-298.265,D7,0,-41.44,-297.5279,C15,9.9175,-44.775,-296.8788
C10,9.8938,-34.355,-298.265,C14,19.8093,-37.657,-297.3714,C15,9.9175,-44.775,-296.8788
D7,0,-41.44,-297.5279,D8,-9.8938,-34.355,-298.265,D12,-9.9175,-44.775,-296.8788
D7,0,-41.44,-297.5279,C15,9.9175,-44.775,-296.8788,D11,0,-51.708,-295.9163
D7,0,-41.44,-297.5279,D11,0,-51.708,-295.9163,D12,-9.9175,-44.775,-296.8788
D8,-9.8938,-34.355,-298.265,D9,-19.7714,-27.213,-298.5108,D13,-19.8093,-37.657,-297.3714
D8,-9.8938,-34.355,-298.265,D12,-9.9175,-44.775,-296.8788,D13,-19.8093,-37.657,-297.3714
D9,-19.7714,-27.213,-298.5108,D10,-29.6164,-20.026,-298.265,D14,-29.6925,-30.476,-297.3714
D9,-19.7714,-27.213,-298.5108,D13,-19.8093,-37.657,-297.3714,D14,-29.6925,-30.476,-297.3714
D10,-29.6164,-20.026,-298.265,E7,-39.4126,-12.806,-297.5279,D15,-39.519,-23.268,-296.8788
D10,-29.6164,-20.026,-298.265,D14,-29.6925,-30.476,-297.3714,D15,-39.519,-23.268,-296.8788
E7,-39.4126,-12.806,-297.5279,E8,-35.7311,-1.206,-298.265,E12,-45.6484,-4.404,-296.8788
E7,-39.4126,-12.806,-297.5279,D15,-39.519,-23.268,-296.8788,E11,-49.1772,-15.978,-295.9163
E7,-39.4126,-12.806,-297.5279,E11,-49.1772,-15.978,-295.9163,E12,-45.6484,-4.404,-296.8788
E8,-35.7311,-1.206,-298.265,E9,-31.9908,10.395,-298.5108,E13,-41.9353,7.203,-297.3714
E8,-35.7311,-1.206,-298.265,E12,-45.6484,-4.404,-296.8788,E13,-41.9353,7.203,-297.3714
E9,-31.9908,10.395,-298.5108,E10,-28.1978,21.979,-298.265,E14,-38.1602,18.822,-297.3714
E9,-31.9908,10.395,-298.5108,E13,-41.9353,7.203,-297.3714,E14,-38.1602,18.822,-297.3714
E10,-28.1978,21.979,-298.265,A7,-24.3583,33.527,-297.5279,E15,-34.3416,30.395,-296.8788
E10,-28.1978,21.979,-298.265,E14,-38.1602,18.822,-297.3714,E15,-34.3416,30.395,-296.8788
A7,-24.3583,33.527,-297.5279,A12,-18.2947,42.054,-296.8788,A11,-30.3932,41.833,-295.9163
A7,-24.3583,33.527,-297.5279,E15,-34.3416,30.395,-296.8788,A11,-30.3932,41.833,-295.9163
A12,-18.2947,42.054,-296.8788,A13,-6.1082,42.109,-297.3714,A18,-12.2089,50.529,-295.8681
A12,-18.2947,42.054,-296.8788,A11,-30.3932,41.833,-295.9163,A17,-24.3201,50.35,-295.1501
A12,-18.2947,42.054,-296.8788,A17,-24.3201,50.35,-295.1501,A18,-12.2089,50.529,-295.8681
A13,-6.1082,42.109,-297.3714,A14,6.1082,42.109,-297.3714,A19,0,50.571,-296.1128
A13,-6.1082,42.109,-297.3714,A18,-12.2089,50.529,-295.8681,A19,0,50.571,-296.1128
A14,6.1082,42.109,-297.3714,A15,18.2947,42.054,-296.8788,A20,12.2089,50.529,-295.8681
A14,6.1082,42.109,-297.3714,A19,0,50.571,-296.1128,A20,12.2089,50.529,-295.8681
A15,18.2947,42.054,-296.8788,B11,30.3932,41.833,-295.9163,A21,24.3201,50.35,-295.1501
A15,18.2947,42.054,-296.8788,A20,12.2089,50.529,-295.8681,A21,24.3201,50.35,-295.1501
B11,30.3932,41.833,-295.9163,B12,34.3416,30.395,-296.8788,B17,40.3703,38.689,-295.1501
B11,30.3932,41.833,-295.9163,A21,24.3201,50.35,-295.1501,B16,36.3917,50.089,-293.9506
B11,30.3932,41.833,-295.9163,B16,36.3917,50.089,-293.9506,B17,40.3703,38.689,-295.1501
B12,34.3416,30.395,-296.8788,B13,38.1602,18.822,-297.3714,B18,44.283,27.226,-295.8681
B12,34.3416,30.395,-296.8788,B17,40.3703,38.689,-295.1501,B18,44.283,27.226,-295.8681
B13,38.1602,18.822,-297.3714,B14,41.9353,7.203,-297.3714,B19,48.0955,15.628,-296.1128
B13,38.1602,18.822,-297.3714,B18,44.283,27.226,-295.8681,B19,48.0955,15.628,-296.1128
B14,41.9353,7.203,-297.3714,B15,45.6484,-4.404,-296.8788,B20,51.8285,4.003,-295.8681
B14,41.9353,7.203,-297.3714,B19,48.0955,15.628,-296.1128,B20,51.8285,4.003,-295.8681
B15,45.6484,-4.404,-296.8788,C11,49.1772,-15.978,-295.9163,B21,55.4009,-7.57,-295.1501
B15,45.6484,-4.404,-296.8788,B20,51.8285,4.003,-295.8681,B21,55.4009,-7.57,-295.1501
C11,49.1772,-15.978,-295.9163,C12,39.519,-23.268,-296.8788,C17,49.2703,-26.439,-295.1501
C11,49.1772,-15.978,-295.9163,B21,55.4009,-7.57,-295.1501,C16,58.883,-19.132,-293.9506
C11,49.1772,-15.978,-295.9163,C16,58.883,-19.132,-293.9506,C17,49.2703,-26.439,-295.1501
C12,39.519,-23.268,-296.8788,C13,29.6925,-30.476,-297.3714,C18,39.5773,-33.702,-295.8681
C12,39.519,-23.268,-296.8788,C17,49.2703,-26.439,-295.1501,C18,39.5773,-33.702,-295.8681
C13,29.6925,-30.476,-297.3714,C14,19.8093,-37.657,-297.3714,C19,29.7247,-40.912,-296.1128
C13,29.6925,-30.476,-297.3714,C18,39.5773,-33.702,-295.8681,C19,29.7247,-40.912,-296.1128
C14,19.8093,-37.657,-297.3714,C15,9.9175,-44.775,-296.8788,C20,19.8229,-48.054,-295.8681
C14,19.8093,-37.657,-297.3714,C19,29.7247,-40.912,-296.1128,C20,19.8229,-48.054,-295.8681
C15,9.9175,-44.775,-296.8788,D11,0,-51.708,-295.9163,C21,9.9195,-55.029,-295.1501
C15,9.9175,-44.775,-296.8788,C20,19.8229,-48.054,-295.8681,C21,9.9195,-55.029,-295.1501
D11,0,-51.708,-295.9163,D12,-9.9175,-44.775,-296.8788,D17,-9.9195,-55.029,-295.1501
D11,0,-51.708,-295.9163,C21,9.9195,-55.029,-295.1501,D16,0,-61.913,-293.9506
D11,0,-51.708,-295.9163,D16,0,-61.913,-293.9506,D17,-9.9195,-55.029,-295.1501
D12,-9.9175,-44.775,-296.8788,D13,-19.8093,-37.657,-297.3714,D18,-19.8229,-48.054,-295.8681
D12,-9.9175,-44.775,-296.8788,D17,-9.9195,-55.029,-295.1501,D18,-19.8229,-48.054,-295.8681
D13,-19.8093,-37.657,-297.3714,D14,-29.6925,-30.476,-297.3714,D19,-29.7247,-40.912,-296.1128
D13,-19.8093,-37.657,-297.3714,D18,-19.8229,-48.054,-295.8681,D19,-29.7247,-40.912,-296.1128
D14,-29.6925,-30.476,-297.3714,D15,-39.519,-23.268,-296.8788,D20,-39.5773,-33.702,-295.8681
D14,-29.6925,-30.476,-297.3714,D19,-29.7247,-40.912,-296.1128,D20,-39.5773,-33.702,-295.8681
D15,-39.519,-23.268,-296.8788,E11,-49.1772,-15.978,-295.9163,D21,-49.2703,-26.439,-295.1501
D15,-39.519,-23.268,-296.8788,D20,-39.5773,-33.702,-295.8681,D21,-49.2703,-26.439,-295.1501
E11,-49.1772,-15.978,-295.9163,E12,-45.6484,-4.404,-296.8788,E17,-55.4009,-7.57,-295.1501
E11,-49.1772,-15.978,-295.9163,D21,-49.2703,-26.439,-295.1501,E16,-58.883,-19.132,-293.9506
E11,-49.1772,-15.978,-295.9163,E16,-58.883,-19.132,-293.9506,E17,-55.4009,-7.57,-295.1501
E12,-45.6484,-4.404,-296.8788,E13,-41.9353,7.203,-297.3714,E18,-51.8285,4.003,-295.8681
E12,-45.6484,-4.404,-296.8788,E17,-55.4009,-7.57,-295.1501,E18,-51.8285,4.003,-295.8681
E13,-41.9353,7.203,-297.3714,E14,-38.1602,18.822,-297.3714,E19,-48.0955,15.628,-296.1128
E13,-41.9353,7.203,-297.3714,E18,-51.8285,4.003,-295.8681,E19,-48.0955,15.628,-296.1128
E14,-38.1602,18.822,-297.3714,E15,-34.3416,30.395,-296.8788,E20,-44.283,27.226,-295.8681
E14,-38.1602,18.822,-297.3714,E19,-48.0955,15.628,-296.1128,E20,-44.283,27.226,-295.8681
E15,-34.3416,30.395,-296.8788,A11,-30.3932,41.833,-295.9163,E21,-40.3703,38.689,-295.1501
E15,-34.3416,30.395,-296.8788,E20,-44.283,27.226,-295.8681,E21,-40.3703,38.689,-295.1501
A11,-30.3932,41.833,-295.9163,A17,-24.3201,50.35,-295.1501,A16,-36.3917,50.089,-293.9506
A11,-30.3932,41.833,-295.9163,E21,-40.3703,38.689,-295.1501,A16,-36.3917,50.089,-293.9506
A17,-24.3201,50.35,-295.1501,A18,-12.2089,50.529,-295.8681,A24,-18.2175,58.833,-294.0187
A17,-24.3201,50.35,-295.1501,A16,-36.3917,50.089,-293.9506,A23,-30.3164,58.614,-293.0623
A17,-24.3201,50.35,-295.1501,A23,-30.3164,58.614,-293.0623,A24,-18.2175,58.833,-294.0187
A18,-12.2089,50.529,-295.8681,A19,0,50.571,-296.1128,A25,-6.1082,58.943,-294.4972
A18,-12.2089,50.529,-295.8681,A24,-18.2175,58.833,-294.0187,A25,-6.1082,58.943,-294.4972
A19,0,50.571,-296.1128,A20,12.2089,50.529,-295.8681,A26,6.1082,58.943,-294.4972
A19,0,50.571,-296.1128,A25,-6.1082,58.943,-294.4972,A26,6.1082,58.943,-294.4972
A20,12.2089,50.529,-295.8681,A21,24.3201,50.35,-295.1501,A27,18.2175,58.833,-294.0187
A20,12.2089,50.529,-295.8681,A26,6.1082,58.943,-294.4972,A27,18.2175,58.833,-294.0187
A21,24.3201,50.35,-295.1501,B16,36.3917,50.089,-293.9506,A28,30.3164,58.614,-293.0623
A21,24.3201,50.35,-295.1501,A27,18.2175,58.833,-294.0187,A28,30.3164,58.614,-293.0623
B16,36.3917,50.089,-293.9506,B17,40.3703,38.689,-295.1501,B23,46.3765,46.946,-293.0623
B16,36.3917,50.089,-293.9506,A28,30.3164,58.614,-293.0623,B22,42.3466,58.286,-291.633
B16,36.3917,50.089,-293.9506,B22,42.3466,58.286,-291.633,B23,46.3765,46.946,-293.0623
B17,40.3703,38.689,-295.1501,B18,44.283,27.226,-295.8681,B24,50.324,35.507,-294.0187
B17,40.3703,38.689,-295.1501,B23,46.3765,46.946,-293.0623,B24,50.324,35.507,-294.0187
B18,44.283,27.226,-295.8681,B19,48.0955,15.628,-296.1128,B25,54.1705,24.024,-294.4972
B18,44.283,27.226,-295.8681,B24,50.324,35.507,-294.0187,B25,54.1705,24.024,-294.4972
B19,48.0955,15.628,-296.1128,B20,51.8285,4.003,-295.8681,B26,57.9456,12.406,-294.4972
B19,48.0955,15.628,-296.1128,B25,54.1705,24.024,-294.4972,B26,57.9456,12.406,-294.4972
B20,51.8285,4.003,-295.8681,B21,55.4009,-7.57,-295.1501,B27,61.583,0.855,-294.0187
B20,51.8285,4.003,-295.8681,B26,57.9456,12.406,-294.4972,B27,61.583,0.855,-294.0187
B21,55.4009,-7.57,-295.1501,C16,58.883,-19.132,-293.9506,B28,65.1131,-10.72,-293.0623
B21,55.4009,-7.57,-295.1501,B27,61.583,0.855,-294.0187,B28,65.1131,-10.72,-293.0623
C16,58.883,-19.132,-293.9506,C17,49.2703,-26.439,-295.1501,C23,58.9787,-29.599,-293.0623
C16,58.883,-19.132,-293.9506,B28,65.1131,-10.72,-293.0623,C22,68.5183,-22.263,-291.633
C16,58.883,-19.132,-293.9506,C22,68.5183,-22.263,-291.633,C23,58.9787,-29.599,-293.0623
C17,49.2703,-26.439,-295.1501,C18,39.5773,-33.702,-295.8681,C24,49.3194,-36.889,-294.0187
C17,49.2703,-26.439,-295.1501,C23,58.9787,-29.599,-293.0623,C24,49.3194,-36.889,-294.0187
C18,39.5773,-33.702,-295.8681,C19,29.7247,-40.912,-296.1128,C25,39.5874,-44.095,-294.4972
C18,39.5773,-33.702,-295.8681,C24,49.3194,-36.889,-294.0187,C25,39.5874,-44.095,-294.4972
C19,29.7247,-40.912,-296.1128,C20,19.8229,-48.054,-295.8681,C26,29.7042,-51.276,-294.4972
C19,29.7247,-40.912,-296.1128,C25,39.5874,-44.095,-294.4972,C26,29.7042,-51.276,-294.4972
C20,19.8229,-48.054,-295.8681,C21,9.9195,-55.029,-295.1501,C27,19.8429,-58.304,-294.0187
C20,19.8229,-48.054,-295.8681,C26,29.7042,-51.276,-294.4972,C27,19.8429,-58.304,-294.0187
C21,9.9195,-55.029,-295.1501,D16,0,-61.913,-293.9506,C28,9.9256,-65.238,-293.0623
C21,9.9195,-55.029,-295.1501,C27,19.8429,-58.304,-294.0187,C28,9.9256,-65.238,-293.0623
D16,0,-61.913,-293.9506,D17,-9.9195,-55.029,-295.1501,D23,-9.9256,-65.238,-293.0623
D16,0,-61.913,-293.9506,C28,9.9256,-65.238,-293.0623,D22,0,-72.044,-291.633
D16,0,-61.913,-293.9506,D22,0,-72.044,-291.633,D23,-9.9256,-65.238,-293.0623
D17,-9.9195,-55.029,-295.1501,D18,-19.8229,-48.054,-295.8681,D24,-19.8429,-58.304,-294.0187
D17,-9.9195,-55.029,-295.1501,D23,-9.9256,-65.238,-293.0623,D24,-19.8429,-58.304,-294.0187
D18,-19.8229,-48.054,-295.8681,D19,-29.7247,-40.912,-296.1128,D25,-29.7042,-51.276,-294.4972
D18,-19.8229,-48.054,-295.8681,D24,-19.8429,-58.304,-294.0187,D25,-29.7042,-51.276,-294.4972
D19,-29.7247,-40.912,-296.1128,D20,-39.5773,-33.702,-295.8681,D26,-39.5874,-44.095,-294.4972
D19,-29.7247,-40.912,-296.1128,D25,-29.7042,-51.276,-294.4972,D26,-39.5874,-44.095,-294.4972
D20,-39.5773,-33.702,-295.8681,D21,-49.2703,-26.439,-295.1501,D27,-49.3194,-36.889,-294.0187
D20,-39.5773,-33.702,-295.8681,D26,-39.5874,-44.095,-294.4972,D27,-49.3194,-36.889,-294.0187
D21,-49.2703,-26.439,-295.1501,E16,-58.883,-19.132,-293.9506,D28,-58.9787,-29.599,-293.0623
D21,-49.2703,-26.439,-295.1501,D27,-49.3194,-36.889,-294.0187,D28,-58.9787,-29.599,-293.0623
E16,-58.883,-19.132,-293.9506,E17,-55.4009,-7.57,-295.1501,E23,-65.1131,-10.72,-293.0623
E16,-58.883,-19.132,-293.9506,D28,-58.9787,-29.599,-293.0623,E22,-68.5183,-22.263,-291.633
E16,-58.883,-19.132,-293.9506,E22,-68.5183,-22.263,-291.633,E23,-65.1131,-10.72,-293.0623
E17,-55.4009,-7.57,-295.1501,E18,-51.8285,4.003,-295.8681,E24,-61.583,0.855,-294.0187
E17,-55.4009,-7.57,-295.1501,E23,-65.1131,-10.72,-293.0623,E24,-61.583,0.855,-294.0187
E18,-51.8285,4.003,-295.8681,E19,-48.0955,15.628,-296.1128,E25,-57.9456,12.406,-294.4972
E18,-51.8285,4.003,-295.8681,E24,-61.583,0.855,-294.0187,E25,-57.9456,12.406,-294.4972
E19,-48.0955,15.628,-296.1128,E20,-44.283,27.226,-295.8681,E26,-54.1705,24.024,-294.4972
E19,-48.0955,15.628,-296.1128,E25,-57.9456,12.406,-294.4972,E26,-54.1705,24.024,-294.4972
E20,-44.283,27.226,-295.8681,E21,-40.3703,38.689,-295.1501,E27,-50.324,35.507,-294.0187
E20,-44.283,27.226,-295.8681,E26,-54.1705,24.024,-294.4972,E27,-50.324,35.507,-294.0187
E21,-40.3703,38.689,-295.1501,A16,-36.3917,50.089,-293.9506,E28,-46.3765,46.946,-293.0623
E21,-40.3703,38.689,-295.1501,E27,-50.324,35.507,-294.0187,E28,-46.3765,46.946,-293.0623
A16,-36.3917,50.089,-293.9506,A23,-30.3164,58.614,-293.0623,A22,-42.3466,58.286,-291.633
A16,-36.3917,50.089,-293.9506,E28,-46.3765,46.946,-293.0623,A22,-42.3466,58.286,-291.633
A23,-30.3164,58.614,-293.0623,A24,-18.2175,58.833,-294.0187,A31,-24.2041,67.067,-291.8157
A23,-30.3164,58.614,-293.0623,A22,-42.3466,58.286,-291.633,A30,-36.257,66.794,-290.6273
A23,-30.3164,58.614,-293.0623,A30,-36.257,66.794,-290.6273,A31,-24.2041,67.067,-291.8157
